Наименование,Цена,Ссылка на изображение,Краткое описание
"
        Daelim Delfino
              ","
$ 819
                                                             
                                                                                   72 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//6/0/8/608e99426b6dd9ee24a6c0d9b4fa6cc1_240x180.jpg,        скутер                    
"
        Suzuki GSX-R 600
              ","
$ 6 000
                                                             
                                                                                   527 520 сом
                                                                      ",https://im.mashina.kg/tachka/images//4/4/3/443e20e30c8a10a1abcee30ab402611a_240x180.jpg,        мотоцикл                    
"
        Honda TRX 250
              ","
$ 1 479
                                                             
                                                                                   130 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//2/3/c/23c9baed05bd08388ed9b8ee1a11d34a_240x180.jpg,        мотовездеход                    
"
        Китай (NoName) Электроскутер
              ","
$ 375
                                                             
                                                                                   33 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//6/a/5/6a5855d533d854b500b8071de9427aa5_240x180.jpg,        скутер                    
"
        Yamaha YZF-R6
              ","
$ 5 700
                                                             
                                                                                   501 144 сом
                                                                      ",https://im.mashina.kg/tachka/images//c/4/6/c469da5c2066ffa373b584ac7e0fcd4f_240x180.jpg,        мотоцикл                    
"
        Suzuki Address
              ","
$ 455
                                                             
                                                                                   40 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//a/3/f/a3f6cb880fa8f841ae3023ba3dfdafa3_240x180.jpg,        скутер                    
"
        BRP Outlander 1000
              ","
$ 28 500
                                                             
                                                                                   2 505 720 сом
                                                                      ",https://im.mashina.kg/tachka/images//0/8/2/082d40eed3dfdca2a4ca10de1a607cdf_240x180.jpg,        мотовездеход                    
"
        BRP Outlander 1000
              ","
$ 26 000
                                                             
                                                                                   2 285 920 сом
                                                                      ",https://im.mashina.kg/tachka/images//d/7/c/d7cfa83d0d9548e7ee627b42b4c90afa_240x180.jpg,        мотовездеход                    
"
        BRP Outlander 1000
              ","
$ 27 000
                                                             
                                                                                   2 373 840 сом
                                                                      ",https://im.mashina.kg/tachka/images//7/2/8/728aa6783ea3f8d0f55d851e173d1c76_240x180.jpg,        мотовездеход                    
"
        BRP Outlander 1000
              ","
$ 27 000
                                                             
                                                                                   2 373 840 сом
                                                                      ",https://im.mashina.kg/tachka/images//b/1/c/b1c32741445402f784a9e8dbef4919e0_240x180.jpg,        мотовездеход                    
"
        Kawasaki Ninja
              ","
$ 6 700
                                                             
                                                                                   589 064 сом
                                                                      ",https://im.mashina.kg/tachka/images//9/f/9/9f946c83d04eeff585710e9dc072cc5c_240x180.jpg,        мотоцикл                    
"
        Yamaha R
              ","
$ 6 950
                                                             
                                                                                   611 044 сом
                                                                      ",https://im.mashina.kg/tachka/images//5/7/b/57be4199853528bcfaa994dda823757e_240x180.jpg,        мотоцикл                    
"
        Honda NT 650
              ","
$ 5 000
                                                             
                                                                                   439 600 сом
                                                                      ",https://im.mashina.kg/tachka/images//6/5/d/65ddf9686064ae2b3b75a172bea61dcd_240x180.jpg,        мотоцикл                    
"
        BRP Outlander 1000
              ","
$ 26 000
                                                             
                                                                                   2 285 920 сом
                                                                      ",https://im.mashina.kg/tachka/images//1/c/a/1ca5ed19f66ffb055500a73c8501905c_240x180.jpg,        мотовездеход                    
"
        BRP Outlander 1000
              ","
$ 26 000
                                                             
                                                                                   2 286 440 сом
                                                                      ",https://im.mashina.kg/tachka/images//f/3/d/f3dc2d179083d51e2410fb05704920ec_240x180.jpg,        мотовездеход                    
"
        BRP Outlander 1000
              ","
$ 29 000
                                                             
                                                                                   2 549 680 сом
                                                                      ",https://im.mashina.kg/tachka/images//7/d/1/7d1e60c39545eaf4198dc4d758f2b5e0_240x180.jpg,        мотовездеход                    
"
        Китай (NoName) Скутеры
              ","
$ 967
                                                             
                                                                                   85 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//1/3/b/13b19812fd77119abd6c07a28515bd3b_240x180.jpg,        скутер                    
